Renewable,LC,Main,LS,Bmode
111,5,1.000000,5,0
111,6,1.200000,6,-1
111,7,2.000000,7,-1
112,0,0.000000,0,1
112,1,0.800000,1,1
112,2,1.000000,2,0
112,3,1.800000,3,0
112,4,1.200000,4,1
112,5,1.000000,5,0
112,6,1.200000,6,-1
112,7,2.000000,7,-1
113,0,0.000000,0,1
113,1,0.800000,1,1
113,2,1.000000,2,0
113,3,1.800000,3,0
113,4,1.200000,4,1
113,5,1.000000,5,0
113,6,1.200000,6,-1
113,7,2.000000,7,-1
114,0,0.000000,0,1
114,1,0.800000,1,1
114,2,1.000000,2,0
114,3,1.800000,3,0
114,4,1.200000,4,1
114,5,1.000000,5,0
114,6,1.200000,6,-1
114,7,2.000000,7,-1
115,0,0.000000,0,1
115,1,0.800000,1,1
115,2,1.000000,2,0
115,3,1.800000,3,0
115,4,1.200000,4,1
115,5,1.000000,5,0
115,6,1.200000,6,-1
115,7,2.000000,7,-1
116,0,0.000000,0,1
116,1,0.800000,1,1
116,2,1.000000,2,0
116,3,1.800000,3,0
116,4,1.200000,4,1
116,5,1.000000,5,0
116,6,1.200000,6,-1
116,7,2.000000,7,-1
117,0,0.000000,0,1
117,1,0.800000,1,1
117,2,1.000000,2,0
117,3,1.800000,3,0
117,4,1.200000,4,1
117,5,1.000000,5,0
117,6,1.200000,6,-1
117,7,2.000000,7,-1
118,0,0.000000,0,1
118,1,0.800000,1,1
118,2,1.000000,2,0
118,3,1.800000,3,0
118,4,1.200000,4,1
118,5,1.000000,5,0
118,6,1.200000,6,-1
118,7,2.000000,7,-1
119,0,0.000000,0,1
119,1,0.800000,1,1
119,2,1.000000,2,0
119,3,1.800000,3,0
119,4,1.200000,4,1
119,5,1.000000,5,0
119,6,1.200000,6,-1
119,7,2.000000,7,-1
120,0,0.000000,0,1
120,1,0.800000,1,1
120,2,1.000000,2,0
120,3,1.800000,3,0
120,4,1.200000,4,1
120,5,1.000000,5,0
120,6,1.200000,6,-1
120,7,2.000000,7,-1
121,0,0.000000,0,1
121,1,0.800000,1,1
121,2,1.000000,2,0
121,3,1.800000,3,0
121,4,1.200000,4,1
121,5,1.000000,5,0
121,6,1.200000,6,-1
121,7,2.000000,7,-1
122,0,0.000000,0,1
122,1,0.800000,1,1
122,2,1.000000,2,0
122,3,1.800000,3,0
122,4,1.200000,4,1
122,5,1.000000,5,0
122,6,1.200000,6,-1
122,7,2.000000,7,-1
123,0,0.000000,0,1
123,1,0.800000,1,1
123,2,1.000000,2,0
123,3,1.800000,3,0
123,4,1.200000,4,1
123,5,1.000000,5,0
123,6,1.200000,6,-1
123,7,2.000000,7,-1
124,0,0.000000,0,1
124,1,0.800000,1,1
124,2,1.000000,2,0
124,3,1.800000,3,0
124,4,1.200000,4,1
124,5,1.000000,5,0
124,6,1.200000,6,-1
124,7,2.000000,7,-1
125,0,0.000000,0,1
125,1,0.800000,1,1
125,2,1.000000,2,0
125,3,1.800000,3,0
125,4,1.200000,4,1
125,5,1.000000,5,0
125,6,1.200000,6,-1
125,7,2.000000,7,-1
126,0,0.000000,0,1
126,1,0.800000,1,1
126,2,1.000000,2,0
126,3,1.800000,3,0
126,4,1.200000,4,1
126,5,1.000000,5,0
126,6,1.200000,6,-1
126,7,2.000000,7,-1
127,0,0.000000,0,1
127,1,0.800000,1,1
127,2,1.000000,2,0
127,3,1.800000,3,0
127,4,1.200000,4,1
127,5,1.000000,5,0
127,6,1.200000,6,-1
127,7,2.000000,7,-1
128,0,0.000000,0,1
128,1,0.800000,1,1
128,2,1.000000,2,0
128,3,1.800000,3,0
128,4,1.200000,4,1
128,5,1.000000,5,0
128,6,1.200000,6,-1
128,7,2.000000,7,-1
129,0,0.000000,0,1
129,1,0.800000,1,1
129,2,1.000000,2,0
129,3,1.800000,3,0
129,4,1.200000,4,1
129,5,1.000000,5,0
129,6,1.200000,6,-1
129,7,2.000000,7,-1
